Source,Target,Weight
annoy,hate,0.303
annoy,irrit,0.29
obama,osama,0.217
upset,angri,0.193
upset,irrit,0.181
upset,sad,0.172
annoy,angri,0.168
annoy,quiet,0.164
annoy,upset,0.163
angri,irrit,0.162
depress,sad,0.162
upset,quiet,0.16
upset,unhappi,0.158
peac,obama,0.157
calm,relax,0.156
cheer,glad,0.155
depress,upset,0.155
angri,quiet,0.15
annoy,sad,0.149
sad,peac,0.149
hate,irrit,0.148
irrit,quiet,0.148
relax,quiet,0.145
angri,sad,0.143
sad,glad,0.137
calm,quiet,0.135
depress,irrit,0.134
hate,sad,0.134
depress,angri,0.133
depress,unhappi,0.131
annoy,depress,0.13
happi,sad,0.126
cheer,upset,0.125
depress,quiet,0.125
peac,osama,0.123
upset,glad,0.118
sad,unhappi,0.118
irrit,unhappi,0.112
angri,unhappi,0.111
relax,glad,0.111
peac,quiet,0.111
quiet,delight,0.109
hate,upset,0.109
depress,relax,0.108
cheer,delight,0.108
hate,angri,0.107
sad,quiet,0.107
peac,seren,0.106
relax,peac,0.104
hate,quiet,0.104
quiet,unhappi,0.103
peac,delight,0.103
happi,glad,0.103
relax,delight,0.102
peac,griev,0.099
angri,peac,0.097
sad,irrit,0.097
calm,peac,0.097
cheer,quiet,0.097
cheer,sad,0.096
calm,angri,0.095
relax,seren,0.093
seren,delight,0.092
upset,griev,0.092
annoy,glad,0.091
glad,delight,0.09
happi,peac,0.089
calm,upset,0.088
sad,griev,0.087
happi,cheer,0.087
hate,depress,0.087
unhappi,griev,0.087
relax,irrit,0.086
annoy,unhappi,0.086
calm,irrit,0.086
glad,quiet,0.084
seren,griev,0.083
cheer,relax,0.083
quiet,seren,0.083
calm,depress,0.081
delight,unhappi,0.081
depress,peac,0.081
happi,hate,0.079
peac,unhappi,0.079
relax,upset,0.078
depress,obama,0.077
cheer,depress,0.076
depress,glad,0.075
upset,peac,0.075
glad,peac,0.075
annoy,calm,0.073
calm,seren,0.07
osama,griev,0.069
sad,obama,0.069
delight,griev,0.069
upset,obama,0.067
angri,obama,0.067
cheer,angri,0.067
upset,delight,0.067
depress,delight,0.067
annoy,cheer,0.066
depress,griev,0.066
hate,unhappi,0.066
quiet,griev,0.065
angri,delight,0.065
sad,osama,0.064
cheer,peac,0.063
relax,angri,0.061
upset,osama,0.061
seren,unhappi,0.061
angri,osama,0.061
angri,glad,0.06
depress,osama,0.059
happi,unhappi,0.059
calm,delight,0.059
hate,glad,0.059
delight,ecstat,0.058
glad,griev,0.058
obama,delight,0.056
glad,osama,0.056
glad,irrit,0.056
griev,enrag,0.055
quiet,osama,0.055
angri,griev,0.054
calm,unhappi,0.052
glad,ecstat,0.052
glad,unhappi,0.052
griev,ecstat,0.052
osama,enrag,0.052
obama,quiet,0.052
delight,osama,0.051
happi,angri,0.051
calm,sad,0.051
calm,glad,0.051
cheer,obama,0.049
peac,irrit,0.048
irrit,delight,0.048
cheer,unhappi,0.048
relax,sad,0.048
glad,obama,0.047
happi,upset,0.047
calm,hate,0.047
sad,delight,0.047
relax,unhappi,0.047
depress,seren,0.046
happi,annoy,0.045
obama,unhappi,0.045
relax,ecstat,0.045
annoy,osama,0.044
annoy,peac,0.044
osama,unhappi,0.044
irrit,griev,0.043
angri,seren,0.043
obama,enrag,0.042
annoy,relax,0.042
happi,quiet,0.042
calm,cheer,0.041
cheer,osama,0.04
relax,griev,0.039
happi,relax,0.039
happi,depress,0.039
irrit,seren,0.039
depress,ecstat,0.038
calm,griev,0.038
calm,obama,0.038
cheer,irrit,0.037
upset,ecstat,0.037
quiet,ecstat,0.036
annoy,delight,0.036
cheer,hate,0.035
upset,seren,0.034
hate,osama,0.034
peac,enrag,0.033
hate,peac,0.033
annoy,obama,0.033
obama,griev,0.032
unhappi,ecstat,0.032
happi,delight,0.032
hate,relax,0.031
hate,obama,0.031
irrit,osama,0.03
cheer,ecstat,0.03
cheer,griev,0.03
glad,seren,0.03
calm,osama,0.029
happi,irrit,0.029
sad,ecstat,0.028
relax,obama,0.027
angri,enrag,0.026
sad,seren,0.026
happi,seren,0.026
happi,osama,0.025
irrit,ecstat,0.025
seren,ecstat,0.025
quiet,enrag,0.025
happi,griev,0.024
relax,osama,0.024
happi,calm,0.024
cheer,seren,0.023
ecstat,enrag,0.023
upset,enrag,0.023
obama,irrit,0.022
sad,enrag,0.022
angri,ecstat,0.022
happi,obama,0.021
annoy,griev,0.02
annoy,ecstat,0.02
unhappi,enrag,0.019
delight,enrag,0.019
peac,ecstat,0.019
hate,griev,0.018
osama,ecstat,0.017
obama,seren,0.017
happi,ecstat,0.017
annoy,seren,0.017
hate,delight,0.016
depress,enrag,0.016
seren,osama,0.015
glad,enrag,0.015
calm,enrag,0.015
relax,enrag,0.014
hate,enrag,0.013
annoy,enrag,0.013
irrit,enrag,0.012
calm,ecstat,0.012
obama,ecstat,0.012
hate,seren,0.01
cheer,enrag,0.009
hate,ecstat,0.008
seren,enrag,0.008
